row_id,delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,delivery_time_hours_clean,expected_time_hours_clean
1,250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,no,delivered,3,1632.7206,8.0,8.0
2,250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,no,delivered,5,640.17,2.0,3.0
3,250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,no,delivered,4,1448.17,10.0,16.0
4,250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,no,delivered,3,1486.57,6.0,8.0
5,250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,no,delivered,4,1394.56,9.0,16.0
6,250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,yes,delayed,3,391.45,4.0,2.0
7,250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,no,delivered,3,1222.87,6.0,8.0
8,250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,no,delivered,3,800.89,4.0,8.0
9,250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,no,delivered,5,854.18,5.0,8.0
10,250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,no,delivered,5,423.34,3.0,8.0
11,250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,no,delivered,4,1632.15,5.0,8.0
12,250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,no,delivered,5,541.44,3.0,16.0
13,250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,no,delivered,4,1350.18,8.0,16.0
14,250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,yes,failed,1,155.08,6.0,2.0
15,250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,no,delivered,3,1263.27,12.0,16.0
16,250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,yes,delayed,3,1281.51,8.0,6.0
17,250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,no,delivered,5,397.19,10.0,24.0
18,250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,no,delivered,5,990.36,11.0,24.0
19,250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,no,delivered,3,651.1,4.0,8.0
20,250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,yes,failed,2,388.09,7.0,3.0
21,250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,no,delivered,4,986.8,6.0,16.0
22,250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,no,delivered,4,1131.74,9.0,16.0
23,250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,no,delivered,5,1293.05,6.0,8.0
24,250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,no,delivered,4,1363.2,8.0,24.0
25,250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,no,delivered,5,1091.51,7.0,24.0
26,250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,no,delivered,4,578.59,6.0,16.0
27,250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,yes,delayed,3,1632.7206,9.0,7.0
28,250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,no,delivered,3,1574.01,8.0,24.0
29,250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,no,delivered,5,874.8,3.0,4.0
30,250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,no,delivered,5,1475.36,13.0,16.0
31,250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,no,delivered,5,1534.04,9.0,24.0
32,250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,yes,failed,1,1235.37,10.0,8.0
33,250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,yes,failed,1,1402.69,10.0,6.0
