row_id,delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,delivery_time_hours_clean,expected_time_hours_clean,delay_duration_hours,delay_category,on_time_flag,delivery_success_flag,distance_category,cost_per_km,satisfaction_category,performance_score
1,250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,no,delivered,3,1632.7206,8.0,8.0,0.0,on_time_or_early,1,1,very_long,5.497375757575758,average,88.0
2,250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,no,delivered,5,640.17,2.0,3.0,-1.0,on_time_or_early,1,1,medium,7.144754464285715,excellent,100.0
3,250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,no,delivered,4,1448.17,10.0,16.0,-6.0,on_time_or_early,1,1,very_long,5.294954296160878,good,94.0
4,250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,no,delivered,3,1486.57,6.0,8.0,-2.0,on_time_or_early,1,1,very_long,5.511939191694475,average,88.0
5,250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,no,delivered,4,1394.56,9.0,16.0,-7.0,on_time_or_early,1,1,very_long,5.432645111024542,good,94.0
6,250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,yes,delayed,3,391.45,4.0,2.0,2.0,mild_delay,0,1,short,8.087809917355372,average,48.0
7,250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,no,delivered,3,1222.87,6.0,8.0,-2.0,on_time_or_early,1,1,long,6.166767523953605,average,88.0
8,250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,no,delivered,3,800.89,4.0,8.0,-4.0,on_time_or_early,1,1,medium,6.988568935427574,average,88.0
9,250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,no,delivered,5,854.18,5.0,8.0,-3.0,on_time_or_early,1,1,medium,5.9984550561797745,excellent,100.0
10,250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,no,delivered,5,423.34,3.0,8.0,-5.0,on_time_or_early,1,1,short,8.988110403397027,excellent,100.0
11,250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,no,delivered,4,1632.15,5.0,8.0,-3.0,on_time_or_early,1,1,very_long,5.566678035470669,good,94.0
